"","X","id","source","target142","cse142","cse143","target143","numAdmApplication","admitStatus","gender","ethnic","transfer","Q5b","Q5d","Q5e","Q5f","Q7a","Q8a","Q8c","Q8d","Q8e","Q8g","Q8i","Q9","Q11","GPA","stdmath","stdverbal","stdcomb","appscores","cse142firstclass","cse142grade","cse143firstclass","cse143grade"
"3076",3076,"e92a7e2f-584a-5fa3-a11d-ce6513c3d631","student","CSE142",1,1,"NA143",1,"DNA","F","CAUCASN",NA,1,4,1,1,3,4,4,3,3,4,4,1,1,3.08,600,620,1220,NA,1,2.4,NA,NA
"3077",3077,"e92ccce2-8731-5a2c-ab5a-509024a7cb80","student","CSE142",1,1,"NA143",1,"DNA","M","NOT IND",NA,3,3,1,1,4,5,1,5,4,1,2,1,1,3.37,760,640,1400,NA,1,3.3,NA,NA
"3078",3078,"e9308f5f-2101-5a73-a01a-2af7e9895768","student","CSE142",3,3,"CSE143",1,"Accept","M","CAUCASN",NA,4,4,1,1,5,5,5,4,4,2,2,2,3,3.77,690,600,1290,4.5,3,3.9,3,3.9
"3079",3079,"e937148e-b8a1-5487-9616-99bb9ddcd01d","student","CSE142",1,1,"NA143",1,"DNA","F","CAUCASN",NA,1,3,3,1,4,4,3,3,4,3,3,1,2,2.78,610,590,1200,NA,1,0.7,NA,NA
"3080",3080,"e93da7ac-2e0d-523d-b67e-9d5a83be8f72","student","CSE142",2,1,"NA143",1,"DNA","F","NOT IND",NA,4,3,1,1,4,4,3,3,2,4,3,1,1,3.77,740,520,1260,NA,2,NA,NA,NA
"3081",3081,"e943712a-291b-563f-a2d8-30fa4135e3e0","student","CSE142",2,2,"CSE143",1,"DNA","M","ASIAN",NA,NA,4,2,2,5,4,4,4,4,4,4,1,1,3.58,650,560,1210,NA,2,3.5,2,3.9
"3082",3082,"e9479e8d-8054-5271-9839-2ef525b1bbc1","student","CSE142",1,1,"CSE143",1,"DNA","M","ASIAN",NA,1,NA,1,1,4,3,3,4,3,3,2,1,1,1.96,630,690,1320,NA,1,2.3,1,2.2
"3083",3083,"e96d7c26-4c3e-572f-b9b9-fd1df3fb3537","student","CSE142",1,1,"NA143",1,"DNA","M","HAW/PAC",NA,1,4,2,2,5,4,3,5,4,3,1,1,1,2.11,690,700,1390,NA,1,NA,NA,NA
"3084",3084,"e97c398c-3c34-5a69-8af1-8a270feaa5e7","student","CSE142",3,1,"NA143",1,"DNA","F","ASIAN",NA,4,2,1,1,2,3,5,4,4,2,2,1,2,3.1,590,470,1060,NA,3,2.4,NA,NA
"3085",3085,"e9885a86-8b25-5d63-b758-ef643693b918","student","CSE142",2,1,"NA143",1,"DNA","M","NOT IND",NA,4,2,1,1,2,2,4,3,4,5,5,1,1,2.31,690,480,1170,NA,2,0,NA,NA
"3086",3086,"e9a5c2be-9197-5b95-92c0-e2fd5bfaab16","student","CSE142",2,2,"CSE143",1,"DNA","F","CAUCASN",NA,2,4,3,1,3,4,2,2,5,4,1,1,1,3.78,630,740,1370,NA,2,3.9,2,3.4
"3087",3087,"e9d86054-a18f-5aaf-acb5-a70f89b02428","student","CSE142",1,2,"CSE143",1,"Deny","M","CAUCASN",NA,2,4,1,1,5,5,3,5,4,1,1,1,1,3.42,580,600,1180,3,1,3.4,2,3.1
"3088",3088,"e9f3973f-caa9-596b-9bfb-962c92d7fe34","student","CSE142",1,2,"CSE143",1,"DNA","M","ASIAN",NA,1,3,1,1,4,5,4,3,4,4,4,2,3,2.81,755,NA,NA,NA,1,2.9,2,NA
